"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Sanders County, MT"	"30089"	Suppressed	57308	Suppressed	Suppressed
	"Sheridan County, MT"	"30091"	Suppressed	18168	Suppressed	Suppressed
	"Silver Bow County, MT"	"30093"	Suppressed	172980	Suppressed	Suppressed
	"Stillwater County, MT"	"30095"	Suppressed	46919	Suppressed	Suppressed
	"Sweet Grass County, MT"	"30097"	Suppressed	18282	Suppressed	Suppressed
	"Teton County, MT"	"30099"	Suppressed	30374	Suppressed	Suppressed
	"Toole County, MT"	"30101"	Suppressed	25238	Suppressed	Suppressed
	"Treasure County, MT"	"30103"	Suppressed	3460	Suppressed	Suppressed
	"Valley County, MT"	"30105"	Suppressed	37901	Suppressed	Suppressed
	"Wheatland County, MT"	"30107"	Suppressed	10603	Suppressed	Suppressed
	"Wibaux County, MT"	"30109"	Suppressed	5485	Suppressed	Suppressed
	"Yellowstone County, MT"	"30111"	32	784261	4.0803	0.0361%
	"Adams County, NE"	"31001"	Suppressed	158016	Suppressed	Suppressed
	"Antelope County, NE"	"31003"	Suppressed	31959	Suppressed	Suppressed
	"Arthur County, NE"	"31005"	Suppressed	2293	Suppressed	Suppressed
	"Banner County, NE"	"31007"	Suppressed	3851	Suppressed	Suppressed
	"Blaine County, NE"	"31009"	Suppressed	2439	Suppressed	Suppressed
	"Boone County, NE"	"31011"	Suppressed	26740	Suppressed	Suppressed
	"Box Butte County, NE"	"31013"	Suppressed	56062	Suppressed	Suppressed
	"Boyd County, NE"	"31015"	Suppressed	10030	Suppressed	Suppressed
	"Brown County, NE"	"31017"	Suppressed	14787	Suppressed	Suppressed
	"Buffalo County, NE"	"31019"	Suppressed	244095	Suppressed	Suppressed
	"Burt County, NE"	"31021"	Suppressed	32813	Suppressed	Suppressed
	"Butler County, NE"	"31023"	Suppressed	40781	Suppressed	Suppressed
	"Cass County, NE"	"31025"	Suppressed	128049	Suppressed	Suppressed
	"Cedar County, NE"	"31027"	Suppressed	43086	Suppressed	Suppressed
	"Chase County, NE"	"31029"	Suppressed	19842	Suppressed	Suppressed
	"Cherry County, NE"	"31031"	Suppressed	29048	Suppressed	Suppressed
	"Cheyenne County, NE"	"31033"	Suppressed	50133	Suppressed	Suppressed
	"Clay County, NE"	"31035"	Suppressed	31384	Suppressed	Suppressed
	"Colfax County, NE"	"31037"	Suppressed	52448	Suppressed	Suppressed
	"Cuming County, NE"	"31039"	Suppressed	45206	Suppressed	Suppressed
	"Custer County, NE"	"31041"	Suppressed	54030	Suppressed	Suppressed
	"Dakota County, NE"	"31043"	Suppressed	103229	Suppressed	Suppressed
	"Dawes County, NE"	"31045"	Suppressed	45054	Suppressed	Suppressed
	"Dawson County, NE"	"31047"	Suppressed	119538	Suppressed	Suppressed
	"Deuel County, NE"	"31049"	Suppressed	9554	Suppressed	Suppressed
	"Dixon County, NE"	"31051"	Suppressed	28946	Suppressed	Suppressed
	"Dodge County, NE"	"31053"	Suppressed	183429	Suppressed	Suppressed
	"Douglas County, NE"	"31055"	203	2747179	7.3894	0.2290%
