"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Ohio County, IN"	"18115"	Suppressed	5828	Suppressed
	"Orange County, IN"	"18117"	Suppressed	19426	Suppressed
	"Owen County, IN"	"18119"	Suppressed	20839	Suppressed
	"Parke County, IN"	"18121"	Suppressed	16886	Suppressed
	"Perry County, IN"	"18123"	Suppressed	19081	Suppressed
	"Pike County, IN"	"18125"	Suppressed	12365	Suppressed
	"Porter County, IN"	"18127"	Suppressed	168404	Suppressed
	"Posey County, IN"	"18129"	Suppressed	25595	Suppressed
	"Pulaski County, IN"	"18131"	Suppressed	12534	Suppressed
	"Putnam County, IN"	"18133"	Suppressed	37702	Suppressed
	"Randolph County, IN"	"18135"	Suppressed	24922	Suppressed
	"Ripley County, IN"	"18137"	Suppressed	28442	Suppressed
	"Rush County, IN"	"18139"	Suppressed	16645	Suppressed
	"St. Joseph County, IN"	"18141"	24	270434	8.8746
	"Scott County, IN"	"18143"	Suppressed	23870	Suppressed
	"Shelby County, IN"	"18145"	Suppressed	44395	Suppressed
	"Spencer County, IN"	"18147"	Suppressed	20394	Suppressed
	"Starke County, IN"	"18149"	Suppressed	22893	Suppressed
	"Steuben County, IN"	"18151"	Suppressed	34484	Suppressed
	"Sullivan County, IN"	"18153"	Suppressed	20746	Suppressed
	"Switzerland County, IN"	"18155"	Suppressed	10696	Suppressed
	"Tippecanoe County, IN"	"18157"	10	190587	Unreliable
